Date,Nom,Clé du QCM,Note,Réponses
"2021-03-12 08:06:03",35555,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0.35,68;A;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-12 08:39:24",35555,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0.7,68;B;71;C;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;A;594;0;625;0;626;0;634;0;636;0;693;B;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;C;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-12 09:17:05",345677765456665,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,15.09,68;A;71;C;142;C;148;B;149;A;150;D;207;C;215;D;219;D;224;A;239;A;240;B;298;B;299;C;304;B;309;C;310;B;313;C;328;C;351;B;371;D;466;C;467;D;471;A;472;A;494;B;594;A;625;B;626;C;634;B;636;B;693;A;696;C;716;D;738;A;793;0;800;B;803;C;835;C;846;D;864;C;865;B;879;C;885;B;920;A;970;B;972;B;991;C;1009;D;1015;B;1071;B;1184;A;1314;C;1374;D;1375;A;1391;D;1394;D
"2021-03-12 09:23:06",444444,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0.7,68;A;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;A;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;B;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-12 09:30:01",35555,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,1.75,68;0;71;C;142;0;148;0;149;0;150;0;207;B;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;B;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;A;793;0;800;0;803;0;835;0;846;0;864;C;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;B;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-12 09:52:48",4658,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,0,68;0;71;0;142;0;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;0;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;0;625;0;626;0;634;0;636;0;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;0;864;0;865;0;879;0;885;0;920;0;970;0;972;0;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-12 10:15:29",444444,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,3.16,68;A;71;0;142;A;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;D;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;A;625;0;626;0;634;C;636;B;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;D;864;0;865;0;879;0;885;0;920;0;970;B;972;B;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-03-12 17:14:52",444444,68;71;142;148;149;150;207;215;219;224;239;240;298;299;304;309;310;313;328;351;371;466;467;471;472;494;594;625;626;634;636;693;696;716;738;793;800;803;835;846;864;865;879;885;920;970;972;991;1009;1015;1071;1184;1314;1374;1375;1391;1394,3.16,68;A;71;0;142;A;148;0;149;0;150;0;207;0;215;0;219;0;224;0;239;0;240;0;298;0;299;0;304;0;309;0;310;0;313;0;328;D;351;0;371;0;466;0;467;0;471;0;472;0;494;0;594;A;625;0;626;0;634;C;636;B;693;0;696;0;716;0;738;0;793;0;800;0;803;0;835;0;846;D;864;0;865;0;879;0;885;0;920;0;970;B;972;B;991;0;1009;0;1015;0;1071;0;1184;0;1314;0;1374;0;1375;0;1391;0;1394;0
"2021-04-15 19:36:09",322092,1496;1547;2;70;122;666;217;313;323;1214;329;675;973;1319;721;1143;294;813;17;398;817;1326;1544;319;613;697;740;1299,8.81,1496;D;1547;A;2;A;70;C;122;B;666;B;217;A;313;C;323;D;1214;B;329;C;675;D;973;0;1319;A;721;B;1143;D;294;D;813;B;17;D;398;D;817;A;1326;A;1544;D;319;C;613;0;697;D;740;B;1299;D
"2021-04-15 19:59:50",35,34;295;1408;1412;1473;1385;1386;1388;1452;1509;1510;1549;1550;1397;1401;1505;1506;1518;1537;1554,3,34;D;295;B;1408;0;1412;0;1473;0;1385;A;1386;B;1388;A;1452;B;1509;0;1510;A;1549;B;1550;B;1397;D;1401;A;1505;B;1506;D;1518;B;1537;B;1554;B
